name,county,type,start,end,annexed,latitude,longitude
Roxbury,Suffolk,annex,1868,,Boston,42.3287315,-71.084106
Dorchester,Suffolk,annex,1870,,Boston,42.2918015,-71.072441
Charlestown,Suffolk,annex,1873,,Boston,42.3716888,-71.062439
Brighton,Suffolk,annex,1874,,Boston,42.3496284,-71.153282
West Roxbury,Suffolk,annex,1874,,Boston,42.2834511,-71.157082
Hyde Park,Suffolk,annex,1912,,Boston,42.2564316,-71.123947
Prescott,,annex,1938,,Quabbin Reservoir,42.3916702,-72.344719
Dana,,annex,1938,,Quabbin Reservoir,42.1561852,-71.566193
Enfield,,annex,1938,,Quabbin Reservoir,42.316667,-72.332778
Greenwich,,annex,1938,,Quabbin Reservoir,42.359167,-72.296389
