name,county,state,type,start,end,latitude,longitude
Boston,Suffolk,MA,city,1822,2019,42.3586617,-71.0567398
Lowell,Middlesex,MA,city,1836,2019,42.6458817,-71.3128433
Salem,Essex,MA,city,1836,2019,42.5223999,-70.895813
Cambridge,Middlesex,MA,city,1846,2019,42.3667908,-71.1060104
Roxbury,Suffolk,MA,city,1846,1868,42.3287315,-71.0841064
Charlestown,Suffolk,MA,city,1847,1873,42.3716888,-71.062439
New Bedford,Bristol,MA,city,1847,2019,41.6376686,-70.9308701
Worcester,Worcester,MA,city,1848,2019,42.2634087,-71.8021927
Lynn,Essex,MA,city,1850,2019,42.4636993,-70.9502182
Newburyport,Essex,MA,city,1851,2019,42.8119698,-70.8726273
Springfield,Hampden,MA,city,1852,2019,42.1012497,-72.5892868
Lawrence,Essex,MA,city,1853,2019,42.7103996,-71.1607971
Fall River,Bristol,MA,city,1854,2019,41.6973495,-71.1436462
Chelsea,Suffolk,MA,city,1857,2019,42.3937607,-71.0323715
Taunton,Bristol,MA,city,1864,2019,41.9009209,-71.0887604
Haverhill,Essex,MA,city,1869,2019,42.7775993,-71.0765381
Fitchburg,Worcester,MA,city,1872,2019,42.5817604,-71.7922592
Somerville,Middlesex,MA,city,1872,2019,42.3867493,-71.0984497
Gloucester,Essex,MA,city,1873,2019,42.6143494,-70.6681137
Holyoke,Hampden,MA,city,1873,2019,42.2069588,-72.6074295
Newton,Middlesex,MA,city,1873,2019,42.3385506,-71.2070999
Brockton,Plymouth,MA,city,1881,2019,42.0831795,-71.0172424
Malden,Middlesex,MA,city,1881,2019,42.4266014,-71.0735168
Northampton,Hampshire,MA,city,1883,2019,42.3179817,-72.6318436
Waltham,Middlesex,MA,city,1884,2019,42.3764381,-71.235321
Quincy,Norfolk,MA,city,1888,2019,42.2522812,-71.004158
Woburn,Middlesex,MA,city,1889,2019,42.4792213,-71.1506119
Chicopee,Hampden,MA,city,1890,2019,42.1481895,-72.6069717
Marlborough,Middlesex,MA,city,1890,2019,42.3468018,-71.5479889
Pittsfield,Berkshire,MA,city,1891,2019,42.4473801,-73.2542191
Everett,Middlesex,MA,city,1892,2019,42.4081688,-71.0544968
Medford,Middlesex,MA,city,1892,2019,42.4198112,-71.108757
Beverly,Essex,MA,city,1894,2019,42.5477409,-70.8789825
North Adams,Berkshire,MA,city,1895,2019,42.6998482,-73.1149368
Melrose,Middlesex,MA,city,1899,2019,42.4571686,-71.0640488
Attleboro,Bristol,MA,city,1914,2019,41.9450798,-71.2810898
Revere,Suffolk,MA,city,1914,2019,42.4080696,-71.013588
Leominster,Worcester,MA,city,1915,2019,42.5268288,-71.7617264
Peabody,Essex,MA,city,1916,2019,42.5263596,-70.9285126
Westfield,Hampden,MA,city,1920,2019,42.1202202,-72.7541504
Gardner,Worcester,MA,city,1923,2019,42.5746803,-71.995369
Central Falls,,RI,city,1895,2019,41.8875313,-71.387207
Cranston,,RI,city,1754,2019,41.7788391,-71.4352493
East Providence,,RI,city,1862,2019,41.8197098,-71.3758316
Newport,,RI,city,1784,2019,41.4922409,-71.3112411
Pawtucket,,RI,city,1862,2019,41.8794785,-71.3824768
Providence,,RI,city,1831,2019,41.8238716,-71.4119873
Warwick,,RI,city,1931,2019,41.6987495,-71.4602203
Woonsocket,,RI,city,1867,2019,42.0030785,-71.5133667
