name,county,type,start,end,latitude,longitude
Kingston,Plymouth,settlement,1620,1726,41.9936981,-70.7319412
Plymouth,Plymouth,settlement,1620,1620,41.9539909,-70.6588974
Gloucester,Essex,settlement,1623,1642,42.6143494,-70.6681137
Rockport,Essex,settlement,1623,1840,42.6567688,-70.6188965
Chelsea,Suffolk,settlement,1624,1739,42.3937607,-71.0323715
Duxbury,Plymouth,settlement,1624,1637,42.0388794,-70.6887207
Hull,Plymouth,settlement,1624,1644,42.2720604,-70.8586121
Boston,Suffolk,settlement,1625,1630,42.3586617,-71.0567398
Quincy,Norfolk,settlement,1625,1792,42.2522812,-71.004158
Salem,Essex,settlement,1626,1626,42.5223999,-70.895813
Beverly,Essex,settlement,1626,1668,42.5477409,-70.8789825
Peabody,Essex,settlement,1626,1868,42.5263596,-70.9285126
Lynn,Essex,settlement,1629,1629,42.4636993,-70.9502182
Melrose,Middlesex,settlement,1629,1850,42.4571686,-71.0640488
Manchester-By-The-Sea,Essex,settlement,1629,1645,42.5752792,-70.7721786
Marblehead,Essex,settlement,1629,1649,42.5029907,-70.8522186
Swampscott,Essex,settlement,1629,1852,42.4697304,-70.9200287
Cambridge,Middlesex,settlement,1630,1636,42.3667908,-71.1060104
Roxbury,Suffolk,settlement,1630,1630,42.3287315,-71.0841064
Charlestown,Suffolk,settlement,1630,1630,42.3716888,-71.062439
Somerville,Middlesex,settlement,1630,1842,42.3867493,-71.0984497
Everett,Middlesex,settlement,1630,1870,42.4081688,-71.0544968
Medford,Middlesex,settlement,1630,1630,42.4198112,-71.108757
Revere,Suffolk,settlement,1630,1846,42.4080696,-71.013588
Arlington,Middlesex,settlement,1630,1807,42.4162903,-71.1567612
Brighton,Suffolk,settlement,1630,1806,42.3496284,-71.1532822
Canton,Norfolk,settlement,1630,1797,42.1591988,-71.1447906
Dorchester,Suffolk,settlement,1630,1630,42.2918015,-71.0724411
Hyde Park,Suffolk,settlement,1630,1868,42.2564316,-71.1239471
Nahant,Essex,settlement,1630,1853,42.4242096,-70.9144974
Sandwich,Barnstable,settlement,1630,1639,41.7582588,-70.5005264
Saugus,Essex,settlement,1630,1815,42.4653206,-71.009697
Scituate,Plymouth,settlement,1630,1636,42.1996994,-70.7521896
Watertown,Middlesex,settlement,1630,1630,42.3676109,-71.1878815
West Roxbury,Suffolk,settlement,1630,1851,42.2834511,-71.1570816
Weymouth,Norfolk,settlement,1630,1635,42.2221718,-70.9388199
Hanson,Plymouth,settlement,1632,1820,42.0658112,-70.8685074
Marshfield,Plymouth,settlement,1632,1640,42.0905495,-70.7093887
Chelmsford,Middlesex,settlement,1633,1655,42.5982704,-71.3468018
Hingham,Plymouth,settlement,1633,1635,42.2370491,-70.874649
Ipswich,Essex,settlement,1633,1634,42.6796417,-70.83815
Waltham,Middlesex,settlement,1634,1738,42.3764381,-71.235321
Attleboro,Bristol,settlement,1634,1694,41.9450798,-71.2810898
Braintree,Norfolk,settlement,1634,1640,42.2128181,-70.9889908
Essex,Essex,settlement,1634,1819,42.6325111,-70.7811279
Norwell,Plymouth,settlement,1634,1849,42.1619797,-70.8032227
Newburyport,Essex,settlement,1635,1764,42.8119698,-70.8726273
Agawam,Hampden,settlement,1635,1855,42.089381,-72.627104
Concord,Middlesex,settlement,1635,1635,42.4603004,-71.3485184
Dedham,Norfolk,settlement,1635,1636,42.2466011,-71.1737671
Dover,Norfolk,settlement,1635,1836,42.2442818,-71.280098
Newbury,Essex,settlement,1635,1635,42.7975082,-70.8613968
Topsfield,Essex,settlement,1635,1650,42.6415482,-70.9506912
Wenham,Essex,settlement,1635,1643,42.6038017,-70.8880234
West Newbury,Essex,settlement,1635,1819,42.7992096,-70.9921875
Westford,Middlesex,settlement,1635,1729,42.5826607,-71.437088
Winthrop,Suffolk,settlement,1635,1852,42.3816299,-70.982193
Springfield,Hampden,settlement,1636,1636,42.1012497,-72.5892868
Belmont,Middlesex,settlement,1636,1859,42.3970604,-71.1783371
Danvers,Essex,settlement,1636,1775,42.5701103,-70.9365005
