name,county,type,start,end,latitude,longitude
Plymouth,Plymouth,town,1620,,41.9539909,-70.6588974
Salem,Essex,town,1626,1836,42.5223999,-70.895813
Lynn,Essex,town,1629,1850,42.4636993,-70.9502182
Charlestown,Suffolk,town,1630,1847,42.3716888,-71.062439
Dorchester,Suffolk,town,1630,1870,42.2918015,-71.0724411
Roxbury,Suffolk,Town,1630,1846,42.3287315,-71.0841064
Watertown,Middlesex,town,1630,,42.3676109,-71.1878815
Boston,Suffolk,town,1630,1822,42.3586617,-71.0567398
Medford,Middlesex,town,1630,1892,42.4198112,-71.108757
Ipswich,Essex,town,1634,,42.6796417,-70.83815
Concord,Middlesex,town,1635,,42.4603004,-71.3485184
Hingham,Plymouth,town,1635,,42.2370491,-70.874649
Newbury,Essex,town,1635,,42.7975082,-70.8613968
Weymouth,Norfolk,town,1635,,42.2221718,-70.9388199
Dedham,Norfolk,town,1636,,42.2466011,-71.1737671
Scituate,Plymouth,town,1636,,42.1996994,-70.7521896
Cambridge,Middlesex,town,1636,1846,42.3667908,-71.1060104
Springfield,Hampden,town,1636,1852,42.1012497,-72.5892868
Duxbury,Plymouth,town,1637,,42.0388794,-70.6887207
Barnstable,Barnstable,town,1638,,41.7019386,-70.3044205
Rowley,Essex,town,1639,,42.7152901,-70.8797302
Salisbury,Essex,town,1639,,42.8417511,-70.8162994
Sandwich,Barnstable,town,1639,,41.7582588,-70.5005264
Sudbury,Middlesex,town,1639,,42.3853798,-71.408638
Yarmouth,Barnstable,town,1639,,41.663311,-70.1989822
Taunton,Bristol,town,1639,1864,41.9009209,-71.0887604
Braintree,Norfolk,town,1640,,42.2128181,-70.9889908
Marshfield,Plymouth,town,1640,,42.0905495,-70.7093887
Haverhill,Essex,town,1641,1869,42.7775993,-71.0765381
Gloucester,Essex,town,1642,1873,42.6143494,-70.6681137
Woburn,Middlesex,town,1642,1889,42.4792213,-71.1506119
Wenham,Essex,town,1643,,42.6038017,-70.8880234
Hull,Plymouth,town,1644,,42.2720604,-70.8586121
Reading,Middlesex,town,1644,,42.5259094,-71.1037827
Manchester-By-The-Sea,Essex,town,1645,,42.5752792,-70.7721786
Rehoboth,Bristol,town,1645,,41.8877296,-71.1996002
Andover,Essex,town,1646,,42.6580696,-71.1419067
Eastham,Barnstable,town,1646,,41.8300896,-69.9764709
Marblehead,Essex,town,1649,,42.5029907,-70.8522186
Malden,Middlesex,town,1649,1881,42.4266014,-71.0735168
Topsfield,Essex,town,1650,,42.6415482,-70.9506912
Medfield,Norfolk,town,1651,,42.1875191,-71.3031082
Lancaster,Worcester,town,1653,,42.4550209,-71.6735764
Billerica,Middlesex,town,1655,,42.563549,-71.271431
Chelmsford,Middlesex,town,1655,,42.5982704,-71.3468018
Groton,Middlesex,town,1655,,42.6085281,-71.5716629
Bridgewater,Plymouth,town,1656,,41.9864998,-70.9764328
Northampton,Hampshire,town,1656,1883,42.3179817,-72.6318436
Marlborough,Middlesex,town,1660,1890,42.3468018,-71.5479889
Hadley,Hampshire,town,1661,,42.3433304,-72.589241
Milton,Norfolk,town,1662,,42.253479,-71.0791473
Dartmouth,Bristol,town,1664,,41.6282082,-70.9660263
Mendon,Worcester,town,1667,,42.1053581,-71.5514832
Swansea,Bristol,town,1667,,41.7487717,-71.1902771
Amesbury,Essex,town,1668,,42.8523293,-70.931778
Beverly,Essex,town,1668,1894,42.5477409,-70.8789825
Middleborough,Plymouth,town,1669,,41.8944511,-70.9068375
Westfield,Hampden,town,1669,1920,42.1202202,-72.7541504
Hatfield,Hampshire,town,1670,,42.3717499,-72.5964279
Edgartown,Dukes,town,1671,,41.3909187,-70.5205002
Nantucket,Nantucket,town,1671,,41.2836418,-70.0986786
Tisbury,Dukes,town,1671,,41.4542809,-70.6012192
Dunstable,Middlesex,town,1673,,42.6744194,-71.4817734
Wrentham,Norfolk,town,1673,,42.0630989,-71.3323517
Sherborn,Middlesex,town,1674,,42.2402802,-71.371521
Deerfield,Franklin,town,1677,,42.4790688,-72.6086502
Freetown,Bristol,town,1683,,41.7991219,-71.0697937
Stow,Middlesex,town,1683,,42.4367218,-71.5072098
Worcester,Worcester,town,1684,1848,42.2634087,-71.8021927
Boxford,Essex,town,1685,,42.6930885,-71.0150833
Falmouth,Barnstable,town,1686,,41.5523491,-70.6174774
Rochester,Plymouth,town,1686,,41.7286415,-70.8227692
Newton,Middlesex,town,1688,1873,42.3385506,-71.2070999
Harwich,Barnstable,town,1694,,41.6862717,-70.0734177
Attleboro,Bristol,town,1694,1914,41.9450798,-71.2810898
